fake_or_true,news
0,"Moro está certo ao não se arrepender de divulgação de áudios de Lula e Dilma. Ele virou um herói.

A Revista Veja promoveu o Fórum Amarelas Ao Vivo, que contou com a presença do juiz federal Sérgio Moro.

No evento, ele foi foi indagado sobre a divulgação do áudio entre Lula e Dilma em março do ano passado. Assim ele respondeu:  Não me arrependo de forma nenhuma, embora tenha ficado consternado com a celeuma que a divulgação causou.

Na minha opinião eu fiz o que a lei exigia e o que eu achei que era necessário, disse. Não eram exatamente conversas republicanas, disse. Não cabe ao poder Judiciário servir guardião dos segredos sombrios dos nossos governantes, completou.

Para quem não se lembra na época Lula e Dilma conversavam ao telefone sobre a indicação do ex-presidente ao Ministério da Casa Civil.

O objetivo estava mais do que óbvio. Dilma o indicou para lhe conceder foro privilegiado, em clara obstrução da Justiça.

Foi a partir da revelação destes áudios que se criou o clima para, enfim, acabar o governo tirânico de Dilma Rousseff.

A partir desse dia, Sérgio Moro se tornou um herói nacional."
1,"Muito antes da Operação Lava Jato existir, em 2010, o senador Delcídio do Amaral (PT) - preso por tentar interferir na operação da Polícia Federal - e o juiz Sérgio Moro estiveram em uma situação de atagonismo. O senador sul-matogrossense foi o autor do projeto de lei que premitiria trazer de volta ao País recursos não declarados no exterior. A proposta foi amplamente criticada pelos magistrados, que a qualificaram como anistia para os corruptos. Em entrevista ao Estado o juiz Sérgio Moro, que comanda a Lava Jato, qualificou o projeto de ""uma vergonha."" 
""Embora a anistia seja destinada a crimes fiscais, de descaminho e financeiros, incluindo a evasão de divisas, na prática vai favorecer todo tipo de criminoso"", disse o titular da 2.a Vara Criminal Federal de Curitiba. O magistrado disse também que o projeto poderia contemplar fraudadores do Tesouro e políticos que remeteram recursos públicos para paraísos fiscais, ""um corrupto não vai internar o dinheiro no País declarando ser ele produto de corrupção. Vai ser muito difícil investigar e discriminar a origem desse dinheiro."" O projeto de lei não foi adiante naquela época. Mas esse ano o governo aposta na aprovação do projeto para reforçar o orçamento.
Veja outros pontos polêmicos da carreira política do senador Delcídio Amaral:

2005 - O político teve contas de campanha investigadas pela Justiça Eleitoral de MS e foi ligado à Roberto Costa Pinho, que sacou R$350 mil da conta da agência SMPB de Marcos Valério

Quando foi presidente da CPI dos Correios, senador costurou acordo para preservar fundos de pensão da quebra de sigilo bancário e fiscal

2007- Ministério Público de Mato Grosso do Sul investigou seu envolvimento no caso do mensalão do Zeca do PT"
0,"MP pede proibição de filmagens no MAM e acaba praticando atentado contra a humanidade.

O Ministério Público de São Paulo assinou uma minuta de termo de ajuste de conduta com o Museu de Arte Moderna de São Paulo, conforme informações do ILISP.

A assinatura do documento permitiu que fosse arquivado o inquérito que investiga o MAM-SP pela performance La Bête que ocorreu na abertura do 35o Panorama da Arte Brasileira. Na ocasião, uma criança foi induzida pela mãe a tocar no corpo de um homem nu e o caso ganhou repercussão internacional.

De acordo com a minuta, o museu fica responsável por impedir filmagens e fotografias para evitar que a divulgação de casos similares aconteça.

Isso é o mais grave de toda a história.

No atual estágio de evolução da humanidade, as câmeras aumentam a nossa segurança. Bandidos, de qualquer tipo, são capturados em imagens, o que restringe o crime. Qualquer crime que seja, incluindo o crime de pedofilia.

Mas ao obrigar o MAM a proibir filmagens e fotografias, definem que o ambiente deve ser menos seguro para os cidadãos. Isso é terrível e deve ser configurado como um crime contra a humanidade.

Os deputados precisam se posicionar quanto a isso."
1,"Ministério Público do Maranhão (MP-MA) ingressou uma Ação Civil Pública contra o prefeito de Paço do Lumiar, Domingos Francisco Dutra Filho (PC do B). A ação é da 1a Promotoria de Justiça da Comarca de Paço do Lumiar referente ao dia 20 de Novembro e pede a condenação do gestor por improbidade administrativa. Para a MP-MA, o município descumpre a Lei de Acesso à Informação e não possui Portal da Transparência adequado à exigência legal.

A assessoria de comunicação do prefeito Domingos Dutra informou que estão sendo tomadas todas as providências para que o Portal atenda às exigências da Lei de Acesso à Informação. Veja a nota completa no final da reportagem.

Segundo o MP-MA, a ação pode levar à perda da função pública, suspensão dos direitos políticos de 3 a 5 anos, pagamento de multa de até 100 vezes o valor de sua remuneração como prefeito e à proibição de contratar ou receber benefícios do Poder Público pelo prazo de três anos. Também foi pedida a condenação do prefeito ao pagamento de danos morais difusos no valor de R$ 50 mil.

De acordo com o Ministério Público, no dia 27 de janeiro foi encaminhado uma recomendação ao município para a regularização de pendências no Portal de Transparência, com prazo de 60 dias. Em resposta, a Procuradoria do Município sustentou que não haveria prova que demonstrasse a inoperância do site.

Em 27 e 28 de abril de 2017, uma avaliação da Assessoria Técnica da Procuradoria Geral de Justiça concluiu pela inadequação do site. Dentre os problemas apontados estão a impossibilidade de acompanhar, em tempo real, a execução orçamentária e financeira da receita e despesa, falta de conteúdo nas seções Pessoal, Prestação de Contas, Licitações e Contratos e Convênios e Patrimônio.

Também não constavam informações sobre a estrutura organizacional do Município; endereços, telefones, e horários de atendimento de unidades; dados para acompanhamento de programas, ações, projetos e obras; além de ferramentas que garantissem o acesso de pessoas com deficiência.

No dia 1° de novembro foi realizada uma nova análise, quando identificou-se a impossibilidade de acompanhamento em tempo real de receitas e despesas, falta de conteúdo na seção Legislação, dentre outras irregularidades no site, segundo o MP-MA. Veja a nota completa da assessoria de comunicação do prefeito Domingos Dutra enviada ao G1:

""O prefeito Domingos Dutra informou que encontrou a Prefeitura de Paço do Lumiar sem Portal da Transparência e que, no momento, está tomando todas as providências para que o Portal atenda às exigências da Lei de Acesso à Informação. Acrescentou que vai aguardar o juiz citar a Prefeitura para mostrar o que está sendo feito e provar que não há má-fé ou intenção de esconder qualquer ato da gestão de Paço do Lumiar"""
0,"Hoje completou um ano da morte de um dos psicopatas mais repulsivos da era atual: Fidel Castro.

O filme A Morte Do Demônio (de Sam Raimi, de 1982, refilmado em 2013) deveria ter recebido uma tradução mais decente no Brasil. The Evil Dead teria sido melhor traduzido como Mortos Demoníacos ou algo do tipo.

O título A Morte do Demônio caberia melhor para uma obra narrando o dia em que Fidel Castro morreu, em 25 de novembro de 2016, há exatamente 1 ano.

Como diz matéria do UOL, a comemoração de 1 ano da morte do genocida em Havana não teve muitas solenidades.

Os grupos comunistas, sempre sádicos, fizeram homenagens a Fidel. Mas é claro que a maioria do povo comemora por dentro.

Também pudera. Fidel matou mais de 100.000 cubanos. Tornou o país o paraíso da prostituição de luxo. Ainda hoje seu irmão Raul Castro é dono de todo o povo, como se fosse um grande curral de gente.

Mas o mais macabro de tudo é como muita gente ainda elogia esse sujeito. Pior ainda: em público. Isso é ainda mais demoníaco."
1,"Cuba comemorará o primeiro aniversário da morte do emblemático líder Fidel Castro a partir de sábado (25) com uma semana de vigílias no momento em que a ilha põe em marcha um processo político que deve por fim aos 60 anos de governo dos irmãos Castro.

Fidel, um símbolo da esquerda revolucionária que construiu um Estado socialista às portas dos Estados Unidos, desafiou durante décadas os esforços de Washington para derrubá-lo, morrendo aos 90 anos em 25 de novembro de 2016.

O líder estava distante dos olhos do público há uma década, período no qual foi substituído na Presidência por seu irmão Raúl a partir de 2008 depois de ser vitimado por uma doença intestinal. Muitos cubanos acreditam que o país mudou muito pouco desde seu falecimento.

O ritmo das reformas empreendidas por Raúl para atualizar o modelo econômico de estilo soviético continuou com moderação depois que o governo congelou, em agosto, a emissão de algumas licenças de trabalho no setor privado, ao mesmo tempo em que a relação com os Estados Unidos piorou sob o comando do presidente Donald Trump.

Analistas argumentam que o mais significativo politicamente é o ciclo eleitoral atual, que começa no domingo com uma votação municipal que terminará com a eleição de um novo presidente do país em fevereiro de 2018. Raúl, de 86 anos, reiterou que se retirará depois de cumprir dois mandatos sucessivos de cinco anos à frente do governo.

Espera-se que a transição no cargo seja gradual, já que Raúl continuará como chefe do governista Partido Comunista. Mas a sucessão chega em um momento difícil devido à diminuição da ajuda de sua aliada Venezuela, da fragilidade das exportações e da falta de liquidez.

""Nosso futuro nem nós mesmos sabemos"", disse Ariadna Valencia, professora de 45 anos de uma escola secundária. ""Raúl termina seu mandato em 2018, Fidel já é história e não vejo realmente uma saída para melhorar a vida.""

Antecipando-se à sua morte, Fidel Castro havia reduzido ao mínimo suas aparições públicas, e escrevia ocasionalmente algumas colunas ou recebia algum dignitário próximo em sua residência.

O desaparecimento do líder foi seguido por nove dias de luto nacional. Um cortejo fúnebre com suas cinzas fez uma viagem de três dias de Havana até a cidade de Santiago de Cuba, onde a revolução cubana teve início.

Para manter seu desejo de evitar um culto à personalidade, não foram erguidas estátuas de Fidel, e tampouco se batizou algum espaço público em sua homenagem. Até sua sepultura tem um aspecto sóbrio, limitando-se a uma enorme pedra de granito em um cemitério de Santiago de Cuba com uma placa que diz somente ""Fidel"".

"
0,"Palocci vai contar que Lula pagou propina a ex-presidente do Peru e aumentar a pressão sobre o petista.

O Radar Online divulga que em sua delação, Antônio Palocci vai confirmar o pedido para que a Odebrecht pagasse 3 milhões de dólares a Ollanta Humala, ex-presidente do Peru, atualmente preso.

Só que o ex-ministro tem informações adicionais e vai dizer que a ordem veio diretamente de Lula, que, de fato, era o maior elo de ligação do poder com a empreiteira.

A delação de Palocci segue sendo temida pelos petistas e panela de pressão pode explodir nos próximos meses."
1,"s doleiros acusados de lavar dinheiro roubado pela quadrilha do ex-governador Sérgio Cabral, Vinícius Claret, conhecido como Juca Bala, e Cláudio Fernando Barbosa, o Tony, chegaram ao Rio de Janeiro na tarde desta quinta-feira (28) vindos do Uruguai.

Eles chegaram em um voo comercial que pousou no aeroporto do Galeão às 13h40. A extradição deles foi concedida pelo governo uruguaio na semana passada.

Escoltados por agentes da Polícia Federal, os doleiros chegaram por volta das 14h45 ao Instituto Médico Legal, na Zona Portuária. Juca Bala e Tony fizeram exames e seguiram para a Cadeia Pública de Benfica, na Zona Norte, onde já estão presos.

Ambos são acusados pela força-tarefa da Lava Jato no Rio de Janeiro de ""lavar"" grande parte da propina obtida através do esquema de corrupção que, segundo o Ministério Público Federal, era chefiado pelo ex-governador Sérgio Cabral (PMDB).

Juca Bala e Tony estão presos desde março no Uruguai, após o juiz da 7a Vara Federal Criminal no RJ, Marcelo Bretas, expedir mandado de prisão contra a dupla.

Vinícius Claret e Claudio Barbosa foram citados na delação premiada dos irmãos Renato e Marcelo Chebar. Ao MPF, os irmãos contaram que durante o tempo que o esquema era chefiado pelo ex-governador, precisaram acionar Juca Bala, no Uruguai, para assumir a lavagem de dinheiro.

Além disso, os irmãos Chebar contaram que Cabral escondia 100 milhões de dólares no exterior.

"
0,"Dr. Ray peita Bolsonaro, chama-o de conservador fake em entrevista a Danilo Gentili e divide a direita.

Este site vem avisando Jair Bolsonaro que ele deveria abandonar a pauta estatista de vez e fazer um discurso mais convincente para aquela boa parte dos liberais e conservadores do Brasil que querem se ver livres das amarras estatais.

Tudo bem que as pesquisas ainda dizem que a maior parte do povo é contra as privatizações, mas o índice (pouco mais de 50% do povo) é fácil de ser revertido. Ademais, Bolsonaro deveria falar para direitistas em vez de focar tanto em petistas arrependidos.

Recentemente ele disse que pensaria 200 vezes antes de privatizar a Petrobrás para que ela não caia nas mãos de chineses (ou algo do tipo). Deveria ter dito: Eu garanto a privatização da Petrobrás, e também garanto que chineses não irão comprá-la. Isso não deixaria brechas. Do jeito que ele falou, parece que o suposto medo de venda aos chineses é pretexto para evitar a privatização.

Seja lá como for, a direita vai ter que adotar alternativas que foquem em um estado reduzido, diminuição de impostos e venda de estatais. Além de João Amoedo, Dr. Rey está fazendo vicejar este tipo de discurso e  ainda que sua candidatura esteja em fase inicial  é complicado para Bolsonaro que apareçam pessoas de direita propondo uma visão economicamente direitista para a economia.

Enfim, veja aos 32:40 Dr. Rey espinafrando Bolsonaro: Quem dá brechas não pode reclamar que os outros aproveitem, não é mesmo?
"
1,"Bolsonaro é um liberal completo, diz presidente do PSL

Partido de pouca expressão nacional, o PSL vive momentos de destaque inédito em sua trajetória de duas décadas.

No dia 5, a sigla anunciou que ""receberia Jair Bolsonaro e sua pré-candidatura à Presidência da República"".

A palavra ""filiação"" não consta no termo divulgado à imprensa, mas o presidente do PSL, o deputado federal Luciano Bivar (PE), diz à Folha que, ""tão certo como dois e dois são quatro"", o pré-candidato, hoje no PSC, migrará para seu partido em março.

O acordo com o segundo colocado na corrida presidencial até o momento, segundo pesquisas do Datafolha, lançou luz sobre a sigla nanica, mas também provocou uma cisão: o movimento Livres rompeu uma união de quase dois anos com o PSL, que tinha como objetivo refundar o partido com nova liderança.

Para os líderes do grupo, Bolsonaro representa o extremo oposto dos valores liberais, tanto em termos econômicos quanto comportamentais, que deveriam nortear a nova fase do partido.

Bivar, entretanto, diz que as críticas são preconceituosas. ""Foi um absurdo. A maior parte do partido foi favorável à união. Ter preconceito contra uma pessoa é fundamentalismo. Eu lamento.""

Bolsonaro representa, diz Bivar, os princípios fundadores do partido: a economia de mercado, as liberdades individuais, a livre expressão de ideias, a autonomia das instituições, o Estado de Direito.

""Não vejo nada no comportamento dele que contradiga a ideologia liberal, na área econômica ou social. É um liberal ao aceitar que cada um faça suas escolhas. Jamais faríamos como o PT, por exemplo, que apoia Cuba, onde homossexuais iam para o paredão.""

Bivar minimiza declarações do pré-candidato que contrariam essa imagem, como o elogio coronel Carlos Alberto Brilhante Ustra, um dos principais símbolos da repressão durante a ditadura militar, durante votação do processo de impeachment da ex-presidente Dilma Rousseff (PT) na Câmara, em 2016.

""Pela família e inocência das crianças que o PT nunca respeitou, contra o comunismo, o Foro de São Paulo e em memória do coronel Brilhante Ustra, o meu voto é sim"", declarou na ocasião.

""Não se deve rotular Bolsonaro por isso"", diz Bivar. ""Não foi um erro. Cada um tem suas convicções. Não sei se o Ustra foi um torturador ou não. Muitas vezes criam-se factoides e toma-se aquilo como verdadeiro.""

Segundo o relatório final da Comissão Nacional da Verdade, na gestão de Ustra o DOI-CODI de São Paulo foi responsável pela morte ou desaparecimento de ao menos 45 presos políticos.

Bivar também não vê contradição em um suposto liberal fazer elogios a uma ditadura.

""É preciso entender que naquele período [na ditadura] estávamos diante de uma situação muito delicada. A ameaça comunista era muito grande. Então o povo clamou pelos militares"", diz.

""Eu faço alguns elogios ao regime militar também. Toda a infraestrutura do Brasil foi feita no governo militar. Foi um regime de transição, e os próprios militares devolveram o poder de forma absolutamente espontânea. Reconhecer isso não torna ninguém menos liberal.""

Sobre o fato de Bolsonaro ser réu Supremo Tribunal Federal, sob acusação de incitação ao estupro, avalia que as falas dele tiveram seu sentido deturpado. Em discurso no plenário da Câmara, em 2014, Bolsonaro disse que só não estupraria a colega Maria do Rosário (PT-RS), ex-ministra de Direitos Humanos, porque ela ""não merecia"".

""Ele nunca falou que iria estuprar a deputada. Nunca fez nenhuma incitação. Agora, se querem deturpar, paciência. Não faz sentido nenhum o acusarem.""

""Além disso, como é que pode um cara ser processado por uma declaração dada na tribuna do Congresso, um direito legítimo e constitucional de você expressar suas opiniões? Essas coisas não podem existir no Estado de Direito.""

Segundo Bivar, Bolsonaro foi atraído pelo discurso transparente e probo do PSL.

""Se alguém no PSL pensa que vai se locupletar no futuro com uma eventual vitória de Bolsonaro, é melhor procurar outro partido. Ninguém se juntará a nós por achar que poderá participar do poder por participar.""

Ele define o presidenciável como um homem bem intencionado e puro, que ""fala o que sente, o que vem da alma"". ""Essa é a grande diferença. Não é um político que fica em cima do muro. A imprensa terá uma surpresa muito grande e positiva com relação ao comportamento que vamos apresentar.""

*POLÊMICA NO FUTEBOL*

Luciano Bivar foi eleito para a Câmara Federal pela primeira vez em 1998. Iniciou seu segundo mandato, como suplente, em julho do ano passado. Candidato a presidente em 2006, sempre pelo PSL, recebeu 0,06% dos votos.

Além da política, tem longa atuação como dirigente esportivo. Foi quatro vezes presidente do Sport Club do Recife.

Em maio de 2013, foi suspenso do posto por 180 dias, pelo Superior Tribunal de Justiça Desportiva, após ter declarado que pagou a um lobista para ""empurrar"" um jogador do Sport, Leomar, para a seleção brasileira em 2001.

Na ocasião, Bivar disse que a decisão foi absurda. ""Eu fiz marketing. Então a 9ine, do Ronaldinho, também deveria ser suspensa. É uma empresa de marketing"", declarou.

Em dezembro de 2013 se afastou do comando do clube para se dedicar à campanha eleitoral do ano seguinte.

Na eleição deste ano pretende se reeleger deputado federal. "
